"name","brand","category","subcategory","gender","price","currency","color","material","sizes","description","product_url","photo_url"
"crew-neck sweater","AMI Paris","tops","","female","70000","RUB","Blue","","","AMI Paris crew-neck sweater | Blue | ink blue | intarsia knitted | heart motif | crew neck | ribbed hem | Wool/Cotton | Jumpers | Sweatshirts & Knitwear | Clothing | Men | Jumpers | Knitwear | Clothing | Women","https://www.farfetch.com/de/shopping/women/ami-paris-crew-neck-sweater-item-33116323.aspx","https://cdn-images.farfetch-contents.com/33/11/63/23/33116323_63529933_1000.jpg"
"cotton mid-rise jeans","Alexander Wang","tops","","female","142000","RUB","Blue","","","Alexander Wang cotton mid-rise jeans | Blue | blue | logo patch  | belt loops | concealed button fly | Cotton/Polyester/Elastane/Polyamide | Wide-Leg Jeans | Denim | Clothing | Women","https://www.farfetch.com/de/shopping/women/alexander-wang-cotton-mid-rise-jeans-item-31137925.aspx","https://cdn-images.farfetch-contents.com/31/13/79/25/31137925_65723625_1000.jpg"
"suede jacket","ROTATE BIRGER CHRISTENSEN","tops","","female","116000","RUB","Brown","","","ROTATE BIRGER CHRISTENSEN suede jacket | Brown | brown | button fastening | tie fastening | suede | long sleeves | Calf Suede/Polyester | Bomber Jackets | Leather Jackets | Jackets | Clothing | Women","https://www.farfetch.com/de/shopping/women/rotate-birger-christensen-suede-jacket-item-33905464.aspx","https://cdn-images.farfetch-contents.com/33/90/54/64/33905464_64756337_1000.jpg"
"button-down maxi skirt","Nanushka","tops","","female","161000","RUB","Neutrals","","","Nanushka button-down maxi skirt | Neutrals | hazy sunrise | button fastening | all-over print | maxi length | Polyester | Fitted Skirts | Skirts | Clothing | Women","https://www.farfetch.com/de/shopping/women/nanushka-geknopfter-maxirock-item-32909904.aspx","https://cdn-images.farfetch-contents.com/32/90/99/04/32909904_64259600_1000.jpg"
"Cabrini gathered mesh top","Marcella","tops","","female","138000","RUB","Black","","","Marcella Cabrini gathered mesh top | Black | black | mesh panel | raw edges | sleeveless | Polyester/Viscose/Polyamide/Spandex/Elastane | Vests & Tank Tops | Tops | Clothing | Women","https://www.farfetch.com/de/shopping/women/marcella-cabrini-gathered-mesh-top-item-32953543.aspx","https://cdn-images.farfetch-contents.com/32/95/35/43/32953543_63272813_1000.jpg"
"midi buttoned knitted dress","SANDRO","tops","","female","86000","RUB","Blue","","","SANDRO midi buttoned knitted dress | Blue | blue | ribbed knit | button fastening | short sleeves | round neck | fitted top and flared skirt | Viscose/Polyamide/Spandex/Elastane | Day Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/sandro-midi-buttoned-knitted-dress-item-32553074.aspx","https://cdn-images.farfetch-contents.com/32/55/30/74/32553074_63866292_1000.jpg"
"crochet day dress","Maje","tops","","female","139000","RUB","Blue","","","Maje crochet day dress | Blue | blue | sleeveless | square neck | crochet detail | knitted construction | scalloped hem | Polyester | Day Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/maje-crochet-day-dress-item-32632979.aspx","https://cdn-images.farfetch-contents.com/32/63/29/79/32632979_66267466_1000.jpg"
"Quinn puff-sleeves midi dress","DÔEN","tops","","female","135000","RUB","Yellow","","","DÔEN Quinn puff-sleeves midi dress | Yellow | yellow | bow detail | puff sleeves | Organic Cotton | Day Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/doen-quinn-puff-sleeves-midi-dress-item-33602547.aspx","https://cdn-images.farfetch-contents.com/33/60/25/47/33602547_66610855_1000.jpg"
"Loch blouse","Simon Miller","tops","","female","98000","RUB","White","","","Simon Miller Loch blouse | White | white | cotton blend | poplin texture | gathered detailing | cut-out detailing | spread collar | front button fastening | rear tie fastening | short rolled sleeves | high-low hem | Cotton/Nylon/Spandex/Elastane | Blouses | Tops | Clothing | Women","https://www.farfetch.com/de/shopping/women/simon-miller-loch-blouse-item-24366602.aspx","https://cdn-images.farfetch-contents.com/24/36/66/02/24366602_54343773_1000.jpg"
"belted leather jacket","Balmain","tops","","female","316000","RUB","Black","","","Balmain belted leather jacket | Black | black | long sleeves | two appliqué patch pockets with buttoned flap | press-stud fastening | detachable belt | two patch pockets with buttoned flap on the front | Tailored fit, defined waist | Lambskin/Viscose/Cotton | Leather Jackets | Jackets | Clothing | Women","https://www.farfetch.com/de/shopping/women/balmain-belted-leather-jacket-item-29822964.aspx","https://cdn-images.farfetch-contents.com/29/82/29/64/29822964_58933717_1000.jpg"
