uid,name,brand,sku,price,price_old,currency,color,silhouette,fabric,length,neckline,sleeve,category,gender,sizes,description,all_characteristics,product_url,photo_url,photo_urls,photo_count,in_stock
687143945142,Christi S-1189,Christi Couture,,638000,728000,RUB,,Прямой,,,,,wedding_dress,female,,"Роскошное силуэтное платье с цветками ручной работы, прошитыми мелкими бусинами. Торжественный съёмный шлейф добавляет величия и драматичности. Образ, созданный для настоящего восхищения. Размер корректируется при подгонке платья. На сайте указана цена продажи.",Силуэт: Прямой,https://christiwedding.ru/catalog/tproduct/157878057-687143945142-christi-s-1189,https://static.tildacdn.com/stor6632-3162-4364-b935-313835343061/698e7856bc90d10c590bda01439aed79.jpg,https://static.tildacdn.com/stor6632-3162-4364-b935-313835343061/698e7856bc90d10c590bda01439aed79.jpg | https://static.tildacdn.com/stor6665-6563-4063-a464-653737336135/4d9b36356d30a4ea9408afc2f97377f3.jpg | https://static.tildacdn.com/stor3233-3138-4336-a535-616438363037/7d2e24e943fb87f4ccbb66565c7a7fc5.jpg | https://static.tildacdn.com/stor3432-3233-4537-a562-333065323530/1de908dba9dcfc323f454b742db83f9d.jpg | https://static.tildacdn.com/stor3134-6130-4464-a235-383435633735/a415a12d92e685402251ed012fdc80ed.jpg | https://static.tildacdn.com/stor3835-3430-4762-b230-306336626533/02706413030cbd29b0b154424ed11e4e.jpg,6,true
422547962352,Christi S-1190,Christi Couture,,275000,388000,RUB,,Прямой,,,,,wedding_dress,female,,"Силуэтное платье со съёмным корсетом, подчёркивающим линию фигуры. Трансформация образа за секунду — от утончённой нежности до смелой элегантности. Уникальный стиль для невесты, которую невозможно забыть. Размер корректируется при подгонке платья. На сайте указана цена продажи.",Силуэт: Прямой,https://christiwedding.ru/catalog/tproduct/157878057-422547962352-christi-s-1190,https://static.tildacdn.com/stor6632-3434-4564-b631-303566616337/fba5117652fd6571aaa7f243afb5f218.jpg,https://static.tildacdn.com/stor6632-3434-4564-b631-303566616337/fba5117652fd6571aaa7f243afb5f218.jpg | https://static.tildacdn.com/stor6364-3536-4461-b862-303235643566/2d15289d1079a03fe57b87d92d1e698b.jpg | https://static.tildacdn.com/stor3536-3936-4033-b038-396161346466/ffb7d2c8a6b369ec84f9cb6ab9720681.jpg,3,true
754326365622,Christi S-1240,Christi Couture,,378000,455000,RUB,,Прямой,,,,,wedding_dress,female,,"Силуэтное платье, усыпанное мерцающими пайетками, подчёркивает лёгкое сияние каждой линии фигуры. Особая деталь на корсете создаёт благородный акцент и делает образ по-настоящему уникальным. Размер корректируется при подгонке платья. На сайте указана цена продажи.",Силуэт: Прямой,https://christiwedding.ru/catalog/tproduct/157878057-754326365622-christi-s-1240,https://static.tildacdn.com/stor3664-3930-4339-b239-383233303135/79ea488663e665e21a34bf40c0263bc7.jpg,https://static.tildacdn.com/stor3664-3930-4339-b239-383233303135/79ea488663e665e21a34bf40c0263bc7.jpg | https://static.tildacdn.com/stor3030-3335-4561-b331-643339363733/a92d1b2f48506692c653f825a40d9c2d.jpg | https://static.tildacdn.com/stor6134-6434-4266-b762-366430643062/55e8741293f1d484f0417b0ea5c4b12d.jpg,3,true
551302854942,Christi S-1191,Christi Couture,,219000,0,RUB,,Прямой,,,,,wedding_dress,female,,"Платье-трансформер с корсетом особого кроя и юбкой из эксклюзивной ткани. В ателье мы можем создать другую юбку или новый корсет по вашим желаниям. Образ, который адаптируется под мечту каждой невесты. Размер корректируется при подгонке платья. На сайте указана цена продажи.",Силуэт: Прямой,https://christiwedding.ru/catalog/tproduct/157878057-551302854942-christi-s-1191,https://static.tildacdn.com/stor6566-3434-4536-b130-326666616131/2cea1f7528189264add56302eb459f88.jpg,https://static.tildacdn.com/stor6566-3434-4536-b130-326666616131/2cea1f7528189264add56302eb459f88.jpg | https://static.tildacdn.com/stor3035-6162-4632-b839-663662393134/dcf2aca806ee0fcc9d2f800eca6d0642.jpg | https://static.tildacdn.com/stor3330-6432-4734-b563-366338306364/3b0b70a25fe840ac5dc38e8cd7b7b694.jpg | https://static.tildacdn.com/stor6339-3162-4564-a138-653732666433/93f1fb7eabebfe360a61af74b3c0371d.jpg,4,true
208498463292,Christi S-1192,Christi Couture,,205000,0,RUB,,Прямой,,,,,wedding_dress,female,,"Платье-трансформер с корсетом особого кроя и юбкой из сжатой ткани. В ателье мы можем создать другую юбку или новый корсет по вашим желаниям. Образ, который адаптируется под мечту каждой невесты. Размер корректируется при подгонке платья. На сайте указана цена продажи.",Силуэт: Прямой,https://christiwedding.ru/catalog/tproduct/157878057-208498463292-christi-s-1192,https://static.tildacdn.com/stor6339-3432-4965-b033-353966316561/d159f9cf48e683bc3135a90adad9474b.jpg,https://static.tildacdn.com/stor6339-3432-4965-b033-353966316561/d159f9cf48e683bc3135a90adad9474b.jpg | https://static.tildacdn.com/stor3462-6437-4562-b231-383231373163/d3f0088a2ade3285f1f02f7f1a51e0ed.jpg,2,true
188615608092,Christi S-1214,Christi Couture,,298000,475000,RUB,,Прямой,,,,,wedding_dress,female,,"Матовый атлас подчёркивает силуэт благородной чистотой линий. Особый шлейф и архитектурный крой создают эффект высокой моды без лишних слов. Перчатки завершают образ — дерзко, элегантно, незабываемо. Размер корректируется при подгонке платья. На сайте указана цена продажи.",Силуэт: Прямой,https://christiwedding.ru/catalog/tproduct/157878057-188615608092-christi-s-1214,https://static.tildacdn.com/stor3866-3562-4061-b033-643566323335/203a883bbfa5fb939d072e78f8848792.jpg,https://static.tildacdn.com/stor3866-3562-4061-b033-643566323335/203a883bbfa5fb939d072e78f8848792.jpg | https://static.tildacdn.com/stor3836-3066-4039-b532-306563653661/7bb0675d57d9beb6b48d4b8bf1fbe438.jpg | https://static.tildacdn.com/stor6631-3062-4566-a235-373132356631/3a9ebe1a7a3e42efc8b4e531d3152693.jpg,3,true
138670096862,Christi S-1198,Christi Couture,,675000,788000,RUB,,Прямой,,,,,wedding_dress,female,,"Платье из нежного французского кружева подчёркивает утончённость и романтичность образа. Длинный шлейф добавляет лёгкой торжественности и воздушности. Элегантность, которой всегда достаточно. Размер корректируется при подгонке платья. На сайте указана цена продажи.",Силуэт: Прямой,https://christiwedding.ru/catalog/tproduct/157878057-138670096862-christi-s-1198,https://static.tildacdn.com/stor3837-3837-4936-b537-633233346135/2780c415379a36f2b6aba0465d616ec9.jpg,https://static.tildacdn.com/stor3837-3837-4936-b537-633233346135/2780c415379a36f2b6aba0465d616ec9.jpg | https://static.tildacdn.com/stor3532-3938-4331-b939-623566373161/dd84fb95b5d26c4e8edfe30207a0a8f9.jpg | https://static.tildacdn.com/stor3432-6632-4063-b836-613233373531/acb44bbef3a1a281272b4c4bc9f3c5ff.jpg | https://static.tildacdn.com/stor6132-3466-4261-a265-626461373664/4162e6d5330dffbc098d5e3ee4a2cacf.jpg | https://static.tildacdn.com/stor6361-6132-4963-b235-316566393135/a96cc589fbc292df043e5851061955cc.jpg | https://static.tildacdn.com/stor3338-6139-4637-a166-336262633666/cc8c43986f6fc8238898154ce02f18a1.jpg,6,true
205063378242,Christi S-1193,Christi Couture,,510000,589000,RUB,,Прямой,,,,,wedding_dress,female,,"Платье из роскошного кружева, расшитого бисером вручную. Съёмные перчатки добавляют образу утончённой драматичности. Идеальный выбор для невесты, любящей детали, которые говорят сами за себя. Размер корректируется при подгонке платья. На сайте указана цена продажи.",Силуэт: Прямой,https://christiwedding.ru/catalog/tproduct/157878057-205063378242-christi-s-1193,https://static.tildacdn.com/stor3032-3465-4235-b138-333731356537/e1af9af5e1d84fa7075980e4ae9025b5.jpg,https://static.tildacdn.com/stor3032-3465-4235-b138-333731356537/e1af9af5e1d84fa7075980e4ae9025b5.jpg | https://static.tildacdn.com/stor3466-3761-4564-a664-303130613634/b3df7f32978bbe8d741214a00484b07b.jpg | https://static.tildacdn.com/stor3338-3030-4562-b866-633733613835/1d61820424cca9d2f5604e4df680a126.jpg | https://static.tildacdn.com/stor3939-6162-4665-a135-643765336665/e83311af43725aa8be31133e7563ac5b.jpg,4,true
193941257362,Christi A-1227,Christi Couture,,228000,428000,RUB,,А-силуэт,,,,,wedding_dress,female,,"Расшитое бисером и пайетками платье переливается как звёздное полотно. Вырез «лодочка» создаёт изящную линию плеч. Торжественный шлейф завершает образ уверенной, сияющей невесты. Размер корректируется при подгонке платья. На сайте указана цена продажи.",Силуэт: А-силуэт,https://christiwedding.ru/catalog/tproduct/157878057-193941257362-christi-a-1227,https://static.tildacdn.com/stor3031-6565-4436-b936-643433613265/6c6308d0ef41efe75c5f9d6d0861f86e.jpg,https://static.tildacdn.com/stor3031-6565-4436-b936-643433613265/6c6308d0ef41efe75c5f9d6d0861f86e.jpg | https://static.tildacdn.com/stor3236-6465-4030-b733-333161343164/19b8081292134cb84ed37bc3e50a4d86.jpg | https://static.tildacdn.com/stor3132-6637-4133-a439-313330353730/d62eb2efa0461e7831fc2d17145d7d98.jpg | https://static.tildacdn.com/stor6463-6565-4330-b265-333233363038/79e317f1f75b36609b32c06989e3dc6c.jpg | https://static.tildacdn.com/stor3161-6564-4465-b038-393330613434/008f5c3c742a91d5aa1c3492ab8c9017.jpg,5,true
153464573672,Christi A-1188,Christi Couture,,620000,845000,RUB,,А-силуэт,,,,,wedding_dress,female,,Королевское платье с роскошным шлейфом и изысканной ручной работой. Съёмная вставка на плечи и рукава позволяют менять настроение образа. Величие и трансформация в одном силуэте. Размер корректируется при подгонке платья. На сайте указана цена продажи.,Силуэт: А-силуэт,https://christiwedding.ru/catalog/tproduct/157878057-153464573672-christi-a-1188,https://static.tildacdn.com/stor3964-3630-4766-b530-313239663834/55b0f6ac67a6d087cdfe24b796c8a455.jpg,https://static.tildacdn.com/stor3964-3630-4766-b530-313239663834/55b0f6ac67a6d087cdfe24b796c8a455.jpg | https://static.tildacdn.com/stor3037-6634-4663-a261-653065343863/c50aaed4ccdc57bf1fbc3a02ada3cd12.jpg | https://static.tildacdn.com/stor6232-3535-4339-b332-313832336663/74733646c05556fe10a8f40433c003bf.jpg | https://static.tildacdn.com/stor3964-3837-4536-b833-313130313736/845f20a3fcfcd715a21687a2776e4233.jpg | https://static.tildacdn.com/stor6333-3931-4662-b837-636538643539/05ccf20c62b45d77779474b9200fe6e8.jpg,5,true
